"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"coefficient_variation_out_degree","0,493","0,452","0,270","0,429","0,014","-0,071","-0,071","-0,071","0,320","-0,008","0,281","-0,024","0,821","0,235","0,387","0,384","-0,080","-0,072","-0,017","-0,022","-0,106","-0,006","-0,005","0,005","-0,019","0,234","0,779","0,364",1,"0,117","0,617","-0,024","0,235"
"var_in_degree","0,154","0,533","0,901","0,232","0,687","-0,032","-0,032","-0,032","0,658","0,654","0,665","0,673","0,356","0,196","0,451","0,672","-0,035","-0,032","-0,036","-0,014","-0,038","-0,024","0,246","-0,021","0,125","0,875","0,633","0,294","0,117",1,"0,732","0,673","0,195"
"var_out_degree","0,212","0,456","0,775","0,196","0,493","-0,031","-0,031","-0,031","0,482","0,479","0,465","0,483","0,705","0,278","0,387","0,567","-0,034","-0,031","-0,010","-0,018","-0,038","-0,038","0,088","-0,021","0,011","0,631","0,944","0,217","0,617","0,732",1,"0,483","0,277"
"centralization_in_degree","-0,030","0,242","0,576","0,026","0,835","-0,053","-0,053","-0,053","0,377","0,957","0,385","1,000","0,182","0,110","0,220","0,380","-0,084","-0,053","-0,068","0,130","0,254","0,002","0,173","-0,081","0,121","0,611","0,399","0,151","-0,024","0,673","0,483",1,"0,109"
"centralization_out_degree","-0,024","0,050","0,201","-0,033","0,128","0,583","0,583","0,583","0,079","0,343","0,076","0,113","0,159","1,000","0,001","0,074","0,397","0,582","-0,003","-0,006","-0,132","0,035","-0,001","0,116","-0,022","0,124","0,345","-0,037","0,235","0,195","0,277","0,109",1
"Values in bold are different from 0 with a significance level alpha=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p-values (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"n",0,"< 0,0001","< 0,0001","< 0,0001","0,841","0,293","0,293","0,293","< 0,0001","0,586","< 0,0001","0,621","< 0,0001","0,679","< 0,0001","< 0,0001","0,251","0,291","0,853","0,681","0,198","0,238","0,486","0,504","0,734","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,011","0,000","0,625","0,689"
