"id","name","domain","n","m","avg_degree","max_degree","max_in_degree","max_out_degree","h_index_d","h_index_u","fill","reciprocity","pseudo_diameter","fill_overall","parallel_edges","m_unique","max_pagerank","max_in_degree_centrality","max_out_degree_centrality","max_degree_centrality","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_degree"
836,"rkb-explorer-southampton","Publications",3797,7049,"3,7129",559,555,42,19,25,"0,00044842243738",0,5,"0,000488929584082",584,6465,"0,002670548206157","0,146206533192835","0,011064278187566","0,147260273972603","3,2837",1,"2,4025",2,"17,4482","4,6095","939,859","248,294","304,4384","21,2475","0,1443"
1105,"rkb-explorer-pisa","Publications",962,8780,"18,2536",1462,1462,730,41,51,"0,002754353585954",0,9,"0,009487337969666",6231,2549,"0,012123912483513","1,5213319458897","0,759625390218522","1,5213319458897","2,2254",21,"2,2231",42,"56,1783","33,8159","615,53","370,512","3156,0026","1143,5182","0,1801"
501,"rkb-explorer-laas","Publications",3362,15919,"9,47",2614,2614,337,55,69,"0,00070379271283",0,9,"0,001408381671344",7964,7955,"0,012697816796489","0,77774471883368","0,100267777447188","0,77774471883368","2,5783",6,"2,1096",2,"51,0224","19,3297","1077,56","408,232","2603,2852","373,638","0,1239"
811,"rkb-explorer-rae2001","Publications",13875,50825,"7,3261",5982,5982,4281,36,53,"0,00013726158591",0,3,"0,000264004545086",24400,26425,"0,007216955250965","0,43116621017731","0,308562779299409","0,43116621017731","2,0841",15,"2,1288",5,"83,9583","69,5949","2292,02","1899,91","7048,9937","4843,4541","0,2068"
1101,"rkb-explorer-newcastle","Publications",18004,58050,"6,4486",4692,4692,570,86,111,"0,000109435924308",0,10,"0,000179087063572",22577,35473,"0,004315384684913","0,260623229461756","0,031661389768372","0,260623229461756","2,0075",26,"1,9546",6,"46,285","15,5625","1435,51","482,664","2142,3043","242,1903","0,1118"
449,"rkb-explorer-ieee","Publications",20815,66131,"6,3542",6685,6685,936,91,119,"8,76E-05",0,6,"0,000152634342242",28183,37948,"0,017590837994351","0,321178053233401","0,044969731911214","0,321178053233401","2,6077",6,"2,1516",58,"66,6681","22,5393","2098,41","709,434","4444,6349","508,0202","0,2493"
1968,"rkb-explorer-jisc","Publications",21915,79877,"7,2897",3154,3154,930,85,106,"0,00012878247105",0,7,"0,000166317824415",18027,61850,"0,003127851902972","0,143926257187186","0,04243862371087","0,143926257187186","2,1093",33,"1,8904",4,"44,8745","14,705","1231,17","403,444","2013,7184","216,2358","0,1257"
560,"msc","Publications",45383,81269,"3,5815",9237,9237,360,38,57,"3,79E-05","0,012600130431038",3,"3,95E-05",3236,78033,"0,003813068724767","0,20353884800141","0,0079326605262","0,20353884800141","3,3699",18,"3,5275",3,"58,2101","4,7808","3250,62","266,975","3388,4107","22,8562","0,1938"
967,"stw-thesaurus-for-economics","Publications",49543,109340,"4,4139",7443,7388,114,35,68,"4,45E-05","0,362749222608378",8,"4,45E-05",13,109327,"0,002160043335359","0,149125994106011","0,00230107787332","0,15023616325542","4,2679",30,"3,4288",7,"53,6071","5,8169","2428,99","263,571","2873,7197","33,8367","0,1499"
770,"psh-subject-headings","Publications",72956,119283,"3,27",14159,14088,161,30,60,"2,24E-05","0,269040852426582",8,"2,24E-05",6,119277,"0,004250017730228","0,193105338907546","0,002206839832774","0,194078541566719","3,7893",27,"3,6011",16,"73,7746","3,9543","4512,21","241,851","5442,6917","15,6362","0,194"
